COMPONENT_STRING,COMPONENT_LABEL,COMPONENT_DESCRIPTION,API_SHORT_NAME,PROGRAM_STRING,PROGRAM_LABEL,FREQUENCY,FREQUENCY_NOTES,PROGRAM_DESCRIPTION
ACSSE,1-Year Supplemental Estimates,"ACS 1-Year Supplemental Estimates extend standard 1-year ACS coverage to smaller geographic areas. Available for areas with populations of 20,000 or more (vs. 65,000+ for standard 1-year estimates), these simplified tables (K20-series) trade some detail for broader geographic reach. Released roughly one month after the standard 1-year products.",acs/acsse,ACS,American Community Survey,annual,"Supplemental estimates covering geographies with populations 20,000–65,000, which fall below the main 1-year threshold.","Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDT5Y,Detailed Tables 5-Year,"ACS 5-Year Detailed Tables (B/C-series) pool five years of survey data and are the most geographically comprehensive ACS product-available for every area down to the census block group, regardless of population size. With 64,000+ variables, these tables provide the deepest cross-tabulations across all ACS topics.",acs/acs5,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSSPP1Y,Selected Population Profiles 1-Year,"ACS 1-Year Selected Population Profiles (SPP) provide broad social, economic, and housing summaries for race, ethnic, ancestry, and country/region-of-birth groups. Available for geographic areas with 500,000+ total population and group populations of 65,000+. Presenting data as counts and percentages across 300+ variables.",acs/acs1/spp,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSST3Y,Subject Tables 3-Year,"ACS 3-Year Subject Tables (S-series) summarize topic-level estimates for areas with 20,000+ population, pooling three years of data. Discontinued after the 2013 (2011-2013) release.",acs/acs3/subject,ACS,American Community Survey,triennial,3-year estimates series discontinued after 2013.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDP3Y,Data Profiles 3-Year,"ACS 3-Year Data Profiles (DP-series, 4 tables) summarize social, economic, housing, and demographic estimates for areas with 20,000+ population, pooling three years of data. Discontinued after the 2013 (2011-2013) release.",acs/acs3/profile,ACS,American Community Survey,triennial,3-year estimates series discontinued after 2013.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSST1Y,Subject Tables 1-Year,"ACS 1-Year Subject Tables (S-series) summarize estimates by topic-such as income, commuting, or educational attainment-for a broader geographic range than detailed tables. Presenting data as both counts and percentages, they cover 66,000+ variables for areas with 65,000+ population.",acs/acs1/subject,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSPUMS1YPR,Puerto Rico Public Use Microdata Sample,"Puerto Rico Community Survey (PRCS) 1-Year PUMS contains individual-level person and housing unit records representing approximately 1% of Puerto Rico's population. Separate from the national ACS PUMS (state FIPS 72), it enables custom tabulations at the state and PUMA levels for Puerto Rico.",acs/acs1/pumspr,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSCP3Y,Comparison Profiles 3-Year,"ACS 3-Year Comparison Profiles (CP-series) compare current 3-year estimates against prior 5-year estimates with statistical significance testing, for areas with 20,000+ population. Discontinued after the 2013 (2011-2013) release. Contains 3,000+ variables.",acs/acs3/cprofile,ACS,American Community Survey,triennial,3-year estimates series discontinued after 2013.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSCP5Y,Comparison Profiles 5-Year,"ACS 5-Year Comparison Profiles (CP-series) mirror the Data Profile format but include comparisons to prior 5-year estimates with statistical significance testing, enabling trend analysis for all geographies down to the tract level. Contains 2,400+ variables.",acs/acs5/cprofile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSCP1Y,Comparison Profiles 1-Year,"ACS 1-Year Comparison Profiles (CP-series) mirror the Data Profile format but add year-over-year comparisons with the four preceding 1-year estimates, including statistical significance testing. Useful for tracking change over time for areas with 65,000+ population. Contains 1,000+ variables.",acs/acs1/cprofile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
