"DATASET_STRING","TOPIC_STRING"
"ABSCB2017","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCB2018","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCB2019","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCB2020","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCB2021","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCB2022","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCBO2017","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCBO2018","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCBO2019","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCBO2020","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCBO2021","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCBO2022","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSCS2017","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCS2018","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCS2019","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCS2020","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCS2021","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSCS2022","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSMCB2020","Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSMCB2021","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSMCB2022","Age_of_Business, Business_and_Owner_Characteristics, Class_of_Worker, Employment, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Single_Unit_Multi_Unit_Firms, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESD2018","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Legal_Form_of_Organization, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESD2019","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Legal_Form_of_Organization, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESD2020","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Legal_Form_of_Organization, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESD2021","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Legal_Form_of_Organization, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESD2022","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Employment_and_Labor_Force_Status, Establishments, Industry, Legal_Form_of_Organization, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Receipt_Size, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll, Without_Payroll"
"ABSNESDO2018","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSNESDO2019","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSNESDO2020","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSNESDO2021","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSNESDO2022","Business_and_Owner_Characteristics, Establishments, Industry, Other_Owner_Characteristics"
"ABSTCB2018","Business_and_Owner_Characteristics, Class_of_Worker, Employment_Size, Establishments, Industry, Other_Business_Characteristics, Other_Owner_Characteristics, Owner_Race_and_Ethnicity, Owner_Sex, Owner_Veterans_Status, Payroll, Race_and_Ethnicity, Value_of_Sales_Receipts_Revenue_or_Shipments, With_Payroll"
